id;head_length;head_width;snout_length;internarial_distance;nostril_to_snout_distance;eye_to_nostril;maximum_tympanum_diameter;eye_length;distance_between_front_of_eyes;distance_between_behind_of_eyes;interorbital_distance;snout_shape_lateral;snout_shape_dorsal;interorbital_shape;pineal_oscilus;loreal_region_shape;canthus_rostralis;nostril_shape;tympanum_shape
A20;6.6;3.4;2.4;1.2;1.6;2;2;1.8;1.7;1.6;1.9;oval;round;round;;elongate;elongate;round;round
A21;5.3;2.2;2.1;1.2;1.6;2;2;1.8;1.7;1.6;1.9;oval;oval;round;;elongate;round;elongate;oval
A22;56;120;;;;;;;;;;;;;;;;;
A23;6.6;7.8;;;;;;;;;;;;;;;;;
A24;;;;;;;;;;;;;;;;;;;
A25;;;;;;;;;;;;;;;;;;;
A26;;;;;;;;;;;;;;;;;;;
A27;;;;;;;;;;;;;;;;;;;
A28;;;;;;;;;;;;;;;;;;;
A29;;;;;;;;;;;;;;;;;;;
A30;;;;;;;;;;;;;;;;;;;